,given_word,choice1,choice2,choice3,choice4,choice5,correct_answer
92,gesture,disconnect,wink,reduce,hurt,name,wink
93,make,differentiate,gather,end,create,imply,create
94,expound,spin,pontificate,date,spiral,rush,pontificate
95,live,gesture,critique,solve,rustle,inhabit,inhabit
96,export,ship,group,uplift,formulate,deteriorate,ship
97,reroute,formulate,caress,redirect,report,secure,redirect
98,expand,smack,critique,report,fancy,bulge,bulge
99,comprise,combine,intrude,park,yearn,consist,consist
100,dance,bop,prime,organize,work,spiral,bop
101,void,admire,succeed,report,invalidate,nose,invalidate
102,blend,murmur,arise,amalgamate,restrict,combine,amalgamate
103,carry,mistreat,forgo,arm,brawl,expound,arm
104,switch,redirect,stir,combine,reach,write,redirect
105,fragment,quarrel,lift,encourage,devolve,organize,devolve
106,replicate,pollute,live,copy,stimulate,expound,copy
107,flap,hold,lop,consult,imprison,fan,fan
108,swell,settle,allude,preach,bulge,comprise,bulge
109,wake,conclude,hurt,amalgamate,awaken,stagnate,awaken
110,compress,dye,disconnect,constrict,inquire,judge,constrict
111,compress,constrict,disprove,discern,comprise,yearn,constrict
112,formulate,cut,exonerate,mingle,structure,roll,structure
113,nose,snoop,makeup,redirect,squeeze,gather,snoop
114,organize,send,tabulate,spring,be,stagnate,tabulate
115,shine,intrude,imprint,rise,twinkle,force,twinkle
116,lecture,disconnect,foist,reverberate,pontificate,pain,pontificate
117,bulge,lop,determine,restrict,protrude,support,protrude
118,trade,gesture,consolidate,wave,stun,export,export
119,amalgamate,immobilize,worsen,blink,join,desire,join
120,involve,include,export,fade,implicate,jump,implicate
121,wave,murder,resound,fan,report,grow,fan
122,stroke,rub,spin,flat,spring,abuse,rub
123,account,bind,flash,abolish,bill,invalidate,bill
124,produce,like,make,bat,acquire,boom,make
125,differentiate,poison,disconnect,contrast,fortify,weaken,contrast
126,stop,focus,stir,park,stimulate,switch,park
127,visit,plan,identify,switch,resonate,tour,tour
128,inspire,flatten,whip,cede,confer,uplift,uplift
129,work,constrict,name,redirect,toil,assume,toil
130,infer,construe,tour,caress,reduce,demoralize,construe
131,energize,bounce,power,diagnose,accuse,protect,power
132,adverse,bounce,reveal,paste,resound,contrast,contrast
133,tell,buff,disclose,wink,hold,sniff,disclose
134,secure,mistreat,awaken,caress,echo,arm,arm
135,void,squeeze,concentrate,arrive,admire,invalidate,invalidate
136,press,iron,expand,stagnate,ruin,send,iron
137,implicate,poison,accuse,quarrel,add,show,accuse
138,twist,pare,blend,occupy,lump,corrupt,corrupt
139,disparity,join,reset,illustrate,engrave,contrast,contrast
140,sign,amass,attempt,ink,polish,discredit,ink
141,hone,inform,shape,buff,slam,achieve,shape
142,arise,awaken,tell,bulge,edit,exploit,awaken
143,reproduce,terminate,resonate,arrange,invalidate,taint,resonate
144,elevate,uplift,worsen,toil,alarm,disconnect,uplift
145,refer,breathe,swell,contrast,rule,allude,allude
146,cut,reset,lop,intrude,refine,flatter,lop
147,exonerate,inquire,pardon,intoxicate,live,nose,pardon
148,achieve,accomplish,slap,ask,void,occupy,accomplish
149,ask,reside,flat,evidence,confer,bulge,confer
150,leave,date,spin,park,uproot,nose,park
151,secure,certificate,sound,power,accumulate,arm,arm
152,separate,focus,picture,invalidate,split,sparkle,split
153,fortify,exonerate,arm,activate,allude,lunge,arm
154,amass,nose,immobilize,lump,explode,tour,lump
155,shine,split,polish,bat,collect,elevate,polish
156,squash,achieve,resonate,illustrate,copy,swat,swat
157,touch,foist,allude,travel,send,bop,allude
158,date,disconnect,rub,court,bang,cede,court
159,exploit,offshore,wrap,confine,copy,corrupt,corrupt
160,tell,consult,total,pare,disclose,electrify,disclose
161,clash,compare,fight,electrify,sound,transfer,fight
162,pollute,reduce,corrupt,pare,reproduce,rush,corrupt
163,cordon,enter,investigate,zone,picture,admire,zone
164,bop,quarrel,share,open,punch,infect,punch
165,review,document,critique,inspire,struggle,press,critique
166,caress,rub,flatter,mingle,spiral,smooth,rub
167,twist,write,spiral,acquire,weaken,print,spiral
168,murder,cascade,swat,kill,fortify,stagnate,kill
169,modify,duplicate,blow,edit,mix,rule,edit
170,wind,frown,makeup,void,throw,spiral,spiral
171,sound,function,be,disconnect,cascade,resonate,resonate
172,conquer,taint,blink,inquire,translate,invade,invade
173,work,add,toil,evade,inspire,taint,toil
174,date,court,stun,identify,woo,implicate,court
175,inhabit,live,pine,disallow,bill,accuse,live
176,fan,sound,swell,write,curl,blow,blow
177,trade,color,export,streamline,activate,evaluate,export
178,desire,achieve,chop,group,crumble,pine,pine
179,renounce,declare,abdicate,disallow,gesture,lecture,abdicate
180,whet,stroke,hone,collect,uproot,press,hone
181,reject,force,sharpen,power,invalidate,imprison,invalidate
182,flap,bill,equal,fan,shape,cuddle,fan
183,inspire,uplift,like,forgo,aggregate,conclude,uplift
184,abuse,weaken,sound,pass,mistreat,switch,mistreat
185,consist,decipher,spread,makeup,cuddle,blow,makeup
186,ball,work,furl,conquer,lump,trim,lump
187,time,battle,massage,cut,quarrel,term,term
188,whisper,translate,rustle,park,arrive,compare,rustle
189,desire,expand,intrude,calculate,fancy,fortify,fancy
190,raise,rise,invoice,caress,wink,uplift,uplift
191,refer,equal,collect,allude,live,occupy,allude
192,sound,punch,correct,resonate,differentiate,curl,resonate
193,wink,focus,conclude,sound,address,blink,blink
194,see,bind,contrast,spiral,evidence,force,evidence
195,buff,keep,polish,join,travel,disallow,polish
196,enclose,consist,collect,comprise,grow,shape,consist
197,wind,reroute,corrupt,spiral,combine,reverberate,spiral
198,phrase,discover,copy,elevate,term,long,term
199,energize,evidence,raise,infer,electrify,power,power
200,invoice,phrase,activate,bill,reason,taint,bill
201,prime,journey,iron,arm,shape,murmur,arm
202,like,blast,fancy,attempt,confine,divert,fancy
203,elevate,uplift,exploit,notify,achieve,infect,uplift
204,separate,prepare,infer,frame,rewrite,split,split
205,spoil,corrupt,send,make,arm,decipher,corrupt
206,hone,emasculate,allude,add,combat,shape,shape
207,court,park,consist,declare,flirt,try,flirt
208,blow,wave,throw,squeeze,jump,fan,fan
209,lump,amass,protrude,inspect,void,combat,amass
210,clarify,imprint,edit,interpret,dirty,whisk,interpret
211,smooth,disconnect,court,construe,wrap,polish,polish
212,force,visualize,make,foist,live,raise,foist
213,consult,restrain,confer,differentiate,disclose,dwell,confer
214,work,hit,toil,accomplish,obstruct,consolidate,toil
215,deceive,shape,discuss,enter,foist,modify,foist
216,dirty,alert,shape,contaminate,streamline,compress,contaminate
217,proof,edit,pine,evidence,clash,arm,evidence
218,formulate,structure,contend,grapple,acquire,taint,structure
219,imprison,polish,toil,accomplish,confine,amass,confine
220,activate,designate,crumble,deceive,arm,lop,arm
221,arrive,enter,journey,acquire,stimulate,declare,enter
222,ball,contrast,bump,flash,lump,whack,lump
223,dye,reveal,regress,exploit,deduce,ink,ink
224,twist,brawl,leap,slap,punch,corrupt,corrupt
225,reference,admire,allude,engrave,cede,include,allude
226,modify,whisk,reach,pollute,edit,aggregate,edit
227,produce,spring,rustle,function,imprint,make,make
228,illustrate,keep,lop,print,picture,stimulate,picture
229,reveal,bop,organize,fragment,disclose,disparity,disclose
230,imprison,air,prove,aggregate,uplift,confine,confine
231,uplift,pine,study,contend,mingle,encourage,encourage
232,stun,tighten,bop,live,immobilize,confine,immobilize
233,rewrite,edit,discover,rush,mix,amalgamate,edit
234,emasculate,offshore,castrate,devolve,prime,reduce,castrate
235,structure,frame,castrate,impose,cuddle,reside,frame
236,bound,focus,assess,close,switch,spring,spring
237,restrict,devolve,ask,confine,abuse,prove,confine
238,blast,boom,achieve,decay,squash,murder,boom
239,void,redirect,invalidate,export,flash,quarrel,invalidate
240,bind,blend,insert,confine,consist,spread,confine
241,address,dedicate,pontificate,rush,iron,expand,pontificate
242,contaminate,wind,press,pollute,buff,come,pollute
243,streamline,devolve,organize,reduce,raise,intoxicate,organize
244,boom,concentrate,forgo,explode,distinguish,inquire,explode
245,enclose,confine,notify,sparkle,assess,name,confine
246,disclose,inform,carry,discredit,weaken,include,inform
247,nose,reach,cede,attack,disclose,dig,dig
248,whisk,exploit,sweep,inspect,suggest,print,sweep
249,massage,overtake,rub,equal,calculate,tabulate,rub
250,form,sparkle,structure,implicate,regress,abolish,structure
251,stir,judge,whisk,spring,critique,plan,whisk
252,press,arrange,iron,show,evaluate,invoice,iron
253,desire,ship,swat,limit,rise,pine,pine
254,blend,investigate,deflect,amalgamate,accomplish,consolidate,amalgamate
255,amalgamate,settle,mistreat,join,misuse,inspect,join
256,slam,reach,close,separate,slap,charge,slap
257,join,inform,amalgamate,raise,rise,void,amalgamate
258,rush,misuse,concentrate,get,whisk,insert,whisk
259,arise,polish,alter,designate,close,awaken,awaken
260,infer,expound,long,crumble,brawl,construe,construe
261,foist,force,assess,certificate,accuse,uplift,force
262,foist,immobilize,disallow,reason,stun,impose,impose
263,prove,deceive,offshore,uplift,evidence,relinquish,evidence
264,press,impose,evade,blink,ascertain,iron,iron
265,jump,concentrate,raise,infer,date,spring,spring
266,produce,terminate,pollute,alter,make,send,make
267,enter,arrive,encourage,break,murmur,protect,arrive
268,review,consolidate,critique,split,resound,void,critique
269,keep,wake,twist,disparity,confine,store,confine
270,dance,bop,reason,stir,tabulate,nose,bop
271,depreciate,solve,deteriorate,pollute,pain,visit,deteriorate
272,alarm,invalidate,alert,deduce,grow,certificate,alert
273,alarm,spiral,alert,shine,trim,attempt,alert
274,compare,inspect,modify,labor,picture,contrast,contrast
275,tell,battle,furl,disclose,proof,terminate,disclose
276,throw,slam,jump,flash,pass,implicate,slam
277,deflect,mistreat,invalidate,constrict,redirect,assemble,redirect
278,labor,curl,toil,rule,regress,critique,toil
279,decay,echo,whack,calculate,consolidate,deteriorate,deteriorate
280,invade,overtake,reroute,lump,mix,flash,overtake
281,swell,tell,bulge,bill,iron,toil,bulge
282,smack,rustle,formulate,bop,quarrel,expound,bop
283,alter,edit,discover,warn,jump,undermine,edit
284,court,acquire,desire,woo,compile,distinguish,woo
285,alarm,regress,determine,consist,alert,renounce,alert
286,alarm,invade,labor,contend,alert,get,alert
287,simplify,sum,quarrel,twist,streamline,spiral,streamline
288,terminate,inspect,reset,compress,warn,kill,kill
289,occupy,notify,leap,inhabit,discuss,involve,inhabit
290,wind,fight,spiral,snoop,leave,separate,spiral
291,impose,create,disprove,toil,work,foist,foist
292,deceive,confer,foist,frown,evidence,consist,foist
293,ask,roll,confer,press,accuse,quarrel,confer
294,associate,implicate,consist,restrain,come,reject,implicate
295,pressure,rub,cuddle,sparkle,desire,raise,rub
296,slam,activate,cut,bang,term,rush,bang
297,structure,reveal,cordon,settle,build,accomplish,build
298,punch,dance,charge,bop,constrict,duplicate,bop
299,pass,offshore,battle,wrap,prove,devolve,devolve
300,encroach,poison,invade,designate,arrange,resound,invade
301,trim,reduce,duplicate,expound,polish,frame,reduce
302,oppose,disparity,fade,account,contrast,finish,contrast
303,fuel,dig,wind,power,believe,stir,power
304,restrict,undermine,confine,demoralize,disengage,hop,confine
305,decay,disallow,identify,comment,deteriorate,acquire,deteriorate
306,plan,structure,time,disclose,brawl,rub,structure
307,consult,correspond,be,despoil,confer,designate,confer
308,tabulate,fight,arise,notify,add,keep,add
309,disparity,contrast,protect,stir,hold,renounce,contrast
310,expound,bump,pontificate,shine,dance,inhabit,pontificate
311,term,finish,deteriorate,emasculate,rewrite,translate,finish
312,gesture,stir,wink,dedicate,zone,confer,wink
313,sparkle,twinkle,whack,flatten,confer,desire,twinkle
314,worsen,amass,make,deteriorate,leave,protrude,deteriorate
315,imply,preach,conclude,tally,construe,define,construe
316,proof,reject,evidence,break,tabulate,keep,evidence
317,allude,offshore,streamline,suggest,warn,prepare,suggest
318,land,fancy,trade,arrive,obliterate,restrict,arrive
319,encroach,consult,smack,alert,invade,calculate,invade
320,stop,collect,absolve,reside,combine,park,park
321,force,overtake,echo,exploit,whisk,foist,foist
322,oppose,support,bump,compile,contrast,place,contrast
323,sum,conclude,press,document,certificate,fade,conclude
324,rustle,compare,end,whisper,bound,tally,whisper
325,dig,proof,uproot,nose,refocus,disclose,nose
326,discuss,translate,implicate,confer,offshore,rush,confer
327,labor,toil,slam,inscribe,charge,depreciate,toil
328,renounce,decay,evaluate,abdicate,involve,color,abdicate
329,attempt,power,try,focus,inform,solve,try
330,slap,uproot,swat,regress,stimulate,fuel,swat
331,snoop,crumble,compile,excite,nose,grapple,nose
332,uproot,foist,organize,sharpen,imply,frown,foist
333,reverberate,imply,adverse,resonate,distinguish,get,resonate
334,bounce,transfer,offshore,categorize,spring,curl,spring
335,discuss,discover,confer,bump,come,oppose,confer
336,murmur,whisk,whisper,sound,attempt,occupy,whisper
337,bind,invoice,pontificate,overwhelm,export,confine,confine
338,cede,admire,hit,abdicate,discredit,twinkle,abdicate
339,impose,clash,foist,uproot,slay,notify,foist
340,critique,long,evaluate,succeed,swell,switch,evaluate
341,massage,roll,contend,frown,consist,rub,rub
342,protect,arm,sum,ship,obstruct,edit,arm
343,evaluate,stop,critique,bind,force,fancy,critique
344,live,document,amass,stop,inhabit,kill,inhabit
345,name,admire,term,evaluate,whet,shine,term
346,associate,lump,implicate,tighten,stop,pontificate,implicate
347,stagnate,encroach,unite,forgo,slam,immobilize,immobilize
348,aggregate,blend,illustrate,shorten,inquire,compile,compile
349,streamline,organize,divert,power,disengage,collect,organize
350,boom,abolish,allude,fade,fortify,bang,bang
351,relinquish,abdicate,acquire,struggle,sniff,flash,abdicate
352,ball,spoil,consist,limit,amalgamate,lump,lump
353,alert,document,alarm,deflect,nose,jump,alarm
354,reveal,infer,rise,record,whisk,disclose,disclose
355,boom,fancy,carve,explode,buff,nose,explode
356,absolve,concentrate,bang,pardon,reveal,replicate,pardon
357,refine,deduce,mistreat,wrap,decay,polish,polish
358,iron,mingle,clash,whisk,flap,press,press
359,protrude,hurt,sound,bulge,warn,alarm,bulge
360,mix,heap,aggregate,correct,deteriorate,murmur,aggregate
361,refer,heap,rustle,allude,print,polish,allude
362,construe,discern,understand,place,protrude,assess,understand
363,imprint,stagnate,overwhelm,inscribe,battle,confer,inscribe
364,demoralize,corrupt,encourage,forgo,lecture,clash,corrupt
365,total,tabulate,reverberate,corrupt,expound,notify,tabulate
366,massage,force,proof,rub,uproot,expound,rub
367,slap,swell,slam,expound,arise,constrict,slam
368,damage,notify,corrupt,grow,frown,color,corrupt
369,damage,corrupt,attack,grow,prime,divide,corrupt
370,engrave,inscribe,picture,structure,shorten,corrupt,inscribe
371,misuse,foist,abuse,pain,intoxicate,reside,abuse
372,whisk,quarrel,stir,nose,snoop,bat,stir
373,visit,assume,abdicate,come,prove,tour,tour
374,slap,alert,make,poke,polish,slam,slam
375,excite,unite,insert,contaminate,make,intoxicate,intoxicate
376,sum,settle,shorten,switch,sweep,conclude,conclude
377,land,uproot,allude,arrive,wake,beat,arrive
378,overwhelm,pare,exploit,power,organize,blink,power
379,fight,fuel,misuse,forgo,brawl,reduce,brawl
380,evidence,restrain,lift,divide,prove,heap,prove
381,consolidate,amalgamate,critique,cordon,share,document,amalgamate
382,twist,damage,renounce,limit,oppose,spiral,spiral
383,blow,fan,review,immobilize,show,place,fan
384,reject,sum,dance,curl,see,invalidate,invalidate
385,bound,declare,report,hone,spring,infer,spring
386,boom,press,clash,allude,snoop,explode,explode
387,mistreat,abuse,separate,lop,punch,duplicate,abuse
388,bind,confine,bang,inquire,centralize,duplicate,confine
389,damage,twist,corrupt,smooth,pardon,furl,corrupt
390,dance,whack,reproduce,bop,accomplish,wind,bop
391,prepare,compress,function,make,beat,implicate,make
392,color,refocus,deceive,pass,ink,nose,ink
393,reach,dig,exploit,wind,arrive,carry,arrive
394,plan,structure,involve,accuse,deflect,include,structure
395,twinkle,evaluate,shine,sweep,support,explode,shine
396,refer,trade,yearn,allude,undermine,construe,allude
397,caress,brawl,report,support,rub,formulate,rub
398,hold,deteriorate,build,shape,contend,confine,confine
399,conclude,deduce,tighten,engrave,inhabit,review,deduce
400,translate,wrap,lift,whisk,fight,construe,construe
401,comprise,smack,encroach,bop,disclose,consist,consist
402,emasculate,forgo,criticize,simplify,immobilize,group,criticize
403,occupy,correspond,inhabit,implicate,trim,nose,inhabit
404,correct,edit,bop,sniff,restrict,trade,edit
405,power,poison,immobilize,illustrate,overwhelm,believe,overwhelm
406,place,park,accuse,decipher,interpret,calculate,park
407,interpret,understand,tally,brawl,differentiate,mingle,understand
408,stagnate,immobilize,swell,squash,beat,stop,immobilize
409,poison,intoxicate,identify,wave,imprison,crumble,intoxicate
410,lecture,succeed,pontificate,flirt,caress,sharpen,pontificate
411,bill,murmur,slap,account,resound,stun,account
412,wave,excuse,bill,make,fan,transfer,fan
413,attempt,evidence,investigate,try,obtain,sound,try
414,spread,fan,awaken,intrude,restrict,suggest,fan
415,support,shorten,uplift,whip,imply,smack,uplift
416,relinquish,activate,inspect,deteriorate,invalidate,abdicate,abdicate
417,notify,blend,alert,disparity,categorize,raise,alert
418,blow,dance,imply,fan,carry,fancy,fan
419,conclude,dirty,wake,discover,sum,term,sum
420,combine,quarrel,imagine,amalgamate,slam,wave,amalgamate
421,lump,accumulate,phrase,support,print,elevate,accumulate
422,disallow,criticize,name,invalidate,document,whet,invalidate
423,store,translate,modify,park,bang,support,park
424,create,structure,alert,aggregate,reverberate,offshore,structure
425,rustle,tattoo,throw,group,whisper,regress,whisper
426,breathe,offshore,disallow,contaminate,pare,whisper,whisper
427,caress,spiral,rub,swell,consolidate,evaluate,rub
428,grow,boom,lunge,distinguish,polish,preach,boom
429,clarify,try,divert,whisk,pressure,interpret,interpret
430,undermine,invalidate,accuse,encroach,bang,unite,invalidate
431,immobilize,modify,inspire,leave,stun,flash,stun
432,murder,kill,believe,consolidate,conquer,arouse,kill
433,export,frown,alarm,trade,depreciate,hone,trade
434,prime,assemble,bulge,inhabit,forgo,arm,arm
435,redirect,reside,mix,deflect,review,total,deflect
436,excite,leave,intoxicate,constrict,crumble,settle,intoxicate
437,quarrel,rustle,raise,leap,fight,involve,fight
438,oppose,tour,pollute,contrast,lop,spread,contrast
439,create,beat,group,make,join,squeeze,make
440,picture,encroach,report,worsen,stimulate,illustrate,illustrate
441,force,inform,kill,absolve,foist,divert,foist
442,explode,gather,spiral,disprove,boom,quarrel,boom
443,contaminate,ascertain,punch,obliterate,dirty,plan,dirty
444,uplift,overtake,exploit,raise,bound,combat,raise
445,succeed,achieve,sound,expound,wind,abolish,achieve
446,protrude,enter,shorten,bulge,polish,edit,bulge
447,paste,reach,swat,desire,grapple,determine,swat
448,pass,devolve,work,infer,intrude,worsen,devolve
449,prepare,contrast,cede,confine,make,insert,make
450,term,travel,resound,rub,finish,slay,finish
451,bump,blend,lump,criticize,shine,support,lump
452,court,replicate,date,create,settle,spoil,date
453,labor,toil,evade,invade,amass,smack,toil
454,frown,forgo,mark,evidence,journey,furl,furl
455,bill,travel,invoice,rub,contaminate,accomplish,invoice
456,picture,sweep,castrate,modify,illustrate,iron,illustrate
457,notify,alert,murder,assemble,fade,inquire,alert
458,attack,give,correct,encourage,attempt,fight,fight
459,compress,phrase,rule,constrict,park,build,constrict
460,investigate,nose,leave,enclose,ask,disallow,nose
461,stroke,divide,discredit,rub,ink,misuse,rub
462,criticize,obstruct,imprison,slam,dirty,evidence,slam
463,corrupt,dirty,limit,expound,excite,deflect,dirty
464,replicate,charge,tally,correct,streamline,copy,copy
465,compare,discuss,associate,prepare,contrast,sweep,contrast
466,rub,protect,disconnect,see,pressure,tally,pressure
467,implicate,visualize,dedicate,combat,collect,imply,imply
468,notify,compile,alert,smooth,fade,show,alert
469,build,designate,structure,sparkle,split,evidence,structure
470,comprise,pontificate,discredit,arrive,smack,consist,consist
471,zone,believe,uplift,damage,limit,imply,limit
472,rustle,construe,whisper,determine,clarify,reject,whisper
473,swat,rule,translate,streamline,hit,imagine,hit
474,offshore,carve,spoil,cascade,export,dwell,export
475,limit,desire,stagnate,confine,stun,elevate,confine
476,arise,arm,renounce,awaken,electrify,overtake,awaken
477,categorize,suggest,explode,be,zone,sharpen,zone
478,prove,differentiate,disallow,evidence,assess,buff,evidence
479,alert,land,curl,calculate,notify,achieve,notify
480,collect,stun,evidence,struggle,account,attempt,evidence
481,arrange,change,structure,rewrite,reference,massage,structure
482,declare,build,document,show,beat,inquire,document
483,enter,fade,arrive,print,obtain,excuse,arrive
484,gesture,flash,arm,buff,wink,open,wink
485,consult,address,quarrel,shorten,confer,conquer,confer
486,restrain,flap,duplicate,constrict,report,accomplish,constrict
487,compress,notify,constrict,date,distinguish,judge,constrict
488,focus,arm,construe,zone,dye,settle,zone
489,adverse,simplify,beat,obliterate,contrast,reside,contrast
490,rush,battle,criticize,place,whisk,elevate,whisk
491,adverse,assemble,protrude,contrast,struggle,show,contrast
492,fuel,keep,sign,amalgamate,reverberate,power,power
493,bump,lump,identify,want,phrase,change,lump
494,obliterate,dance,copy,kill,grow,declare,kill
495,twist,like,exonerate,corrupt,tabulate,squash,corrupt
496,slam,bulge,equal,formulate,pressure,criticize,criticize
497,reproduce,murmur,resonate,infer,battle,insert,resonate
498,makeup,report,preach,kill,send,consist,consist
499,get,ask,trim,achieve,encroach,associate,achieve
500,paste,store,fan,excite,swat,pain,swat
501,swat,roll,rub,squash,identify,contrast,squash
502,structure,formulate,damage,contaminate,ascertain,tighten,formulate
503,spiral,wind,invalidate,judge,exonerate,breathe,wind
504,flatten,chop,mark,iron,impose,elevate,iron
505,consult,occupy,confer,abolish,bill,define,confer
506,caress,zone,ascertain,reproduce,conquer,rub,rub
507,abolish,invalidate,brawl,conclude,contaminate,frame,invalidate
508,explain,brawl,lump,clash,excuse,diagnose,diagnose
509,blast,massage,ink,boom,makeup,overtake,boom
510,blow,tour,shine,fan,warn,engrave,fan
511,reject,study,divert,secure,invalidate,believe,invalidate
512,judge,keep,cascade,fade,document,critique,critique
513,relinquish,inspire,assume,abdicate,abolish,disparity,abdicate
514,store,park,term,judge,disallow,amass,park
515,air,involve,dig,fan,edit,report,fan
516,poison,press,battle,show,power,contaminate,contaminate
517,flat,murder,demoralize,interpret,invoice,swat,swat
518,fancy,want,show,modify,massage,ship,want
519,group,alter,discover,ask,lump,dig,lump
520,admire,fancy,mistreat,imprint,woo,mark,fancy
521,organize,close,streamline,be,stimulate,differentiate,streamline
522,warn,alert,ink,open,combine,reverberate,alert
523,overtake,amalgamate,flash,invade,toil,rub,invade
524,paste,bop,pass,swat,desire,gesture,swat
525,close,spin,prepare,grapple,reproduce,constrict,constrict
526,lecture,damage,pontificate,make,separate,absolve,pontificate
527,inspire,consolidate,structure,settle,taint,uplift,uplift
528,critique,stop,simplify,sweep,cuddle,evaluate,evaluate
529,accomplish,achieve,bop,worsen,investigate,disengage,achieve
530,oppose,bind,focus,whack,mix,contrast,contrast
531,furl,inscribe,amass,imprison,curl,relinquish,curl
532,cordon,land,spiral,zone,restrict,flap,zone
533,focus,zone,explode,discern,report,reduce,zone
534,distinguish,whet,contrast,conclude,consult,fade,contrast
